ncalls,tottime,percall,cumtime,percall,filename:lineno(function)
2,1.6985e-05,8.4925e-06,2.0691000000000002e-05,1.0345500000000001e-05,"('/usr/lib/python3.11/multiprocessing/util.py', 186, '__init__')"
1,4.2696000000000006e-05,4.2696000000000006e-05,0.011440691000000001,0.011440691000000001,"('/usr/lib/python3.11/multiprocessing/queues.py', 161, '_start_thread')"
1,0.0018039190000000002,0.0018039190000000002,0.0018039190000000002,0.0018039190000000002,"('~', 0, '<built-in method read_csv>')"
1,1.13e-05,1.13e-05,1.13e-05,1.13e-05,"('~', 0, ""<method 'lazy' of 'builtins.PyDataFrame' objects>"")"
1,1.5008000000000001e-05,1.5008000000000001e-05,1.5008000000000001e-05,1.5008000000000001e-05,"('~', 0, ""<method 'optimization_toggle' of 'builtins.PyLazyFrame' objects>"")"
1,0.0016537960000000001,0.0016537960000000001,0.0016537960000000001,0.0016537960000000001,"('~', 0, ""<method 'collect' of 'builtins.PyLazyFrame' objects>"")"
1,3.5631000000000005e-05,3.5631000000000005e-05,3.5631000000000005e-05,3.5631000000000005e-05,"('~', 0, ""<method 'select' of 'builtins.PyLazyFrame' objects>"")"
24,0.000290417,1.2100708333333334e-05,0.000290417,1.2100708333333334e-05,"('~', 0, ""<method 'with_columns' of 'builtins.PyLazyFrame' objects>"")"
14,0.00022754800000000002,1.6253428571428575e-05,0.00022754800000000002,1.6253428571428575e-05,"('~', 0, ""<method 'with_columns_seq' of 'builtins.PyLazyFrame' objects>"")"
1,3.2007e-05,3.2007e-05,3.2007e-05,3.2007e-05,"('~', 0, ""<method 'drop' of 'builtins.PyLazyFrame' objects>"")"
3,1.2640000000000001e-05,4.213333333333333e-06,1.2640000000000001e-05,4.213333333333333e-06,"('~', 0, ""<method 'columns' of 'builtins.PyLazyFrame' objects>"")"
4,7.5231e-05,1.880775e-05,8.004e-05,2.001e-05,"('~', 0, ""<method 'schema' of 'builtins.PyLazyFrame' objects>"")"
22,2.8917e-05,1.314409090909091e-06,2.8917e-05,1.314409090909091e-06,"('~', 0, ""<method 'alias' of 'builtins.PyExpr' objects>"")"
22,4.4895e-05,2.0406818181818183e-06,4.4895e-05,2.0406818181818183e-06,"('~', 0, ""<method 'cast' of 'builtins.PyExpr' objects>"")"
2,7.5260000000000004e-06,3.7630000000000002e-06,7.5260000000000004e-06,3.7630000000000002e-06,"('~', 0, ""<method 'str_to_datetime' of 'builtins.PyExpr' objects>"")"
16,2.0365000000000002e-05,1.2728125000000001e-06,2.0365000000000002e-05,1.2728125000000001e-06,"('~', 0, '<col>')"
24,2.9229e-05,1.217875e-06,2.9229e-05,1.217875e-06,"('~', 0, '<lit>')"
1,6.0450000000000006e-06,6.0450000000000006e-06,6.0450000000000006e-06,6.0450000000000006e-06,"('~', 0, ""<method 'acquire' of '_multiprocessing.SemLock' objects>"")"
3,2.0220000000000003e-06,6.740000000000001e-07,2.0220000000000003e-06,6.740000000000001e-07,"('/usr/lib/python3.11/multiprocessing/util.py', 48, 'debug')"
1,0.00023842600000000002,0.00023842600000000002,0.018186248000000002,0.018186248000000002,"('/home/vmittal/Code/focus/vm_focus_converters/focus_converter_base/tests/provider_config_tests/oci/test_oci_sample_csv.py', 31, 'execute_converter')"
2,8.156000000000001e-06,4.078000000000001e-06,0.00202235,0.001011175,"('/home/vmittal/Code/focus/vm_focus_converters/focus_converter_base/focus_converter/data_loaders/data_loader.py', 60, 'load_csv')"
2,3.6130000000000004e-06,1.8065000000000002e-06,3.6130000000000004e-06,1.8065000000000002e-06,"('/home/vmittal/Code/focus/vm_focus_converters/focus_converter_base/focus_converter/conversion_functions/deferred_column_functions.py', 28, 'convert_focus_data_type_polars_dtype')"
1,3.2130000000000004e-06,3.2130000000000004e-06,3.729e-06,3.729e-06,"('/home/vmittal/.cache/pypoetry/virtualenvs/focus-converter-FC-3SlwU-py3.11/lib/python3.11/site-packages/networkx/classes/digraph.py', 874, 'successors')"
1,2.1850000000000003e-06,2.1850000000000003e-06,2.1850000000000003e-06,2.1850000000000003e-06,"('/home/vmittal/Code/focus/vm_focus_converters/focus_converter_base/focus_converter/conversion_functions/validations.py', 128, '<listcomp>')"
1,3.2923e-05,3.2923e-05,0.013351747,0.013351747,"('/home/vmittal/Code/focus/vm_focus_converters/focus_converter_base/focus_converter/data_loaders/data_exporter.py', 56, 'collect')"
1,1.6096e-05,1.6096e-05,0.00251036,0.00251036,"('/home/vmittal/Code/focus/vm_focus_converters/focus_converter_base/focus_converter/converter.py', 323, '__process_lazy_frame__')"
3,3.832e-06,1.2773333333333332e-06,4.504e-06,1.5013333333333335e-06,"('/home/vmittal/.cache/pypoetry/virtualenvs/focus-converter-FC-3SlwU-py3.11/lib/python3.11/site-packages/pydantic/_internal/_model_construction.py', 221, '__instancecheck__')"
1,0.000181201,0.000181201,0.001428018,0.001428018,"('/home/vmittal/Code/focus/vm_focus_converters/focus_converter_base/focus_converter/converter.py', 309, '__add_empty_columns_for_missing_focus_columns__')"
1,1.6068000000000003e-05,1.6068000000000003e-05,2.7502000000000002e-05,2.7502000000000002e-05,"('/home/vmittal/Code/focus/vm_focus_converters/focus_converter_base/focus_converter/conversion_functions/validations.py', 126, 'validate_lazy_frame_columns')"
1,3.73e-07,3.73e-07,3.73e-07,3.73e-07,"('/home/vmittal/Code/focus/vm_focus_converters/focus_converter_base/focus_converter/converter.py', 251, '__apply_sql_queries__')"
1,4.823e-06,4.823e-06,4.0610000000000006e-05,4.0610000000000006e-05,"('/home/vmittal/.cache/pypoetry/virtualenvs/focus-converter-FC-3SlwU-py3.11/lib/python3.11/site-packages/pydantic/main.py', 478, 'model_validate')"
3,5.335000000000001e-06,1.7783333333333336e-06,1.7975e-05,5.991666666666666e-06,"('/home/vmittal/.cache/pypoetry/virtualenvs/focus-converter-FC-3SlwU-py3.11/lib/python3.11/site-packages/polars/lazyframe/frame.py', 626, 'columns')"
4,3.9873e-05,9.96825e-06,0.000119913,2.997825e-05,"('/home/vmittal/.cache/pypoetry/virtualenvs/focus-converter-FC-3SlwU-py3.11/lib/python3.11/site-packages/polars/lazyframe/frame.py', 668, 'schema')"
2,5.46e-07,2.73e-07,5.46e-07,2.73e-07,"('/home/vmittal/.cache/pypoetry/virtualenvs/focus-converter-FC-3SlwU-py3.11/lib/python3.11/site-packages/polars/expr/string.py', 2467, '_validate_format_argument')"
1,6.411e-06,6.411e-06,4.8933e-05,4.8933e-05,"('/home/vmittal/.cache/pypoetry/virtualenvs/focus-converter-FC-3SlwU-py3.11/lib/python3.11/site-packages/polars/lazyframe/frame.py', 4100, 'drop')"
1,1.4135000000000001e-05,1.4135000000000001e-05,0.0005824430000000001,0.0005824430000000001,"('/home/vmittal/Code/focus/vm_focus_converters/focus_converter_base/focus_converter/converter.py', 276, 'apply_plan')"
16,1.3413e-05,8.383125e-07,8.1933e-05,5.1208125e-06,"('/home/vmittal/.cache/pypoetry/virtualenvs/focus-converter-FC-3SlwU-py3.11/lib/python3.11/site-packages/polars/functions/col.py', 147, '__new__')"
4,1.759e-06,4.3975e-07,1.759e-06,4.3975e-07,"('/home/vmittal/.cache/pypoetry/virtualenvs/focus-converter-FC-3SlwU-py3.11/lib/python3.11/site-packages/polars/io/_utils.py', 16, '<genexpr>')"
2,5.12e-07,2.56e-07,5.12e-07,2.56e-07,"('/home/vmittal/.cache/pypoetry/virtualenvs/focus-converter-FC-3SlwU-py3.11/lib/python3.11/site-packages/polars/io/_utils.py', 100, 'managed_file')"
1,3.785e-06,3.785e-06,7.2000000000000005e-06,7.2000000000000005e-06,"('/home/vmittal/.cache/pypoetry/virtualenvs/focus-converter-FC-3SlwU-py3.11/lib/python3.11/site-packages/polars/io/_utils.py', 15, '_is_glob_pattern')"
