ncalls,tottime,percall,cumtime,percall,filename:lineno(function)
17,7.861600000000001e-05,4.624470588235295e-06,7.861600000000001e-05,4.624470588235295e-06,"('~', 0, ""<method 'columns' of 'builtins.PyLazyFrame' objects>"")"
8,0.000233868,2.92335e-05,0.000244184,3.0523e-05,"('~', 0, ""<method 'schema' of 'builtins.PyLazyFrame' objects>"")"
10,1.0004000000000001e-05,1.0004000000000002e-06,1.0004000000000001e-05,1.0004000000000002e-06,"('~', 0, ""<method 'alias' of 'builtins.PyExpr' objects>"")"
17,2.4638e-05,1.4492941176470588e-06,2.4638e-05,1.4492941176470588e-06,"('~', 0, ""<method 'cast' of 'builtins.PyExpr' objects>"")"
4,7.014e-06,1.7535e-06,7.014e-06,1.7535e-06,"('~', 0, ""<method 'str_to_datetime' of 'builtins.PyExpr' objects>"")"
45,2.4766000000000003e-05,5.503555555555557e-07,2.4766000000000003e-05,5.503555555555557e-07,"('~', 0, '<col>')"
13,1.3875e-05,1.0673076923076922e-06,1.3875e-05,1.0673076923076922e-06,"('~', 0, '<lit>')"
1,4.83e-06,4.83e-06,4.83e-06,4.83e-06,"('~', 0, ""<method 'acquire' of '_multiprocessing.SemLock' objects>"")"
3,1.412e-06,4.7066666666666665e-07,1.412e-06,4.7066666666666665e-07,"('/usr/lib/python3.11/multiprocessing/util.py', 48, 'debug')"
1,0.000141421,0.000141421,0.030400100000000003,0.030400100000000003,"('/home/vmittal/Code/focus/vm_focus_converters/focus_converter_base/tests/provider_config_tests/aws/test_aws_auto_sample.py', 44, 'execute_converter')"
2,7.864000000000001e-06,3.932000000000001e-06,0.007838595,0.0039192975,"('/home/vmittal/Code/focus/vm_focus_converters/focus_converter_base/focus_converter/data_loaders/data_loader.py', 60, 'load_csv')"
10,3.0748000000000004e-05,3.0748000000000006e-06,0.00040072,4.0072000000000005e-05,"('/home/vmittal/Code/focus/vm_focus_converters/focus_converter_base/focus_converter/conversion_functions/sql_functions.py', 30, 'create_sql_context')"
21,8.098000000000001e-06,3.856190476190477e-07,8.098000000000001e-06,3.856190476190477e-07,"('/home/vmittal/Code/focus/vm_focus_converters/focus_converter_base/focus_converter/conversion_functions/deferred_column_functions.py', 28, 'convert_focus_data_type_polars_dtype')"
1,3.0930000000000003e-06,3.0930000000000003e-06,3.356e-06,3.356e-06,"('/home/vmittal/.cache/pypoetry/virtualenvs/focus-converter-FC-3SlwU-py3.11/lib/python3.11/site-packages/networkx/classes/digraph.py', 874, 'successors')"
1,3.6530000000000004e-06,3.6530000000000004e-06,3.6530000000000004e-06,3.6530000000000004e-06,"('/home/vmittal/Code/focus/vm_focus_converters/focus_converter_base/focus_converter/conversion_functions/validations.py', 128, '<listcomp>')"
1,7.334500000000001e-05,7.334500000000001e-05,0.017615741,0.017615741,"('/home/vmittal/Code/focus/vm_focus_converters/focus_converter_base/focus_converter/data_loaders/data_exporter.py', 56, 'collect')"
1,3.2590000000000005e-05,3.2590000000000005e-05,0.004708189000000001,0.004708189000000001,"('/home/vmittal/Code/focus/vm_focus_converters/focus_converter_base/focus_converter/converter.py', 323, '__process_lazy_frame__')"
