ncalls,tottime,percall,cumtime,percall,filename:lineno(function)
10,9.326e-06,9.326e-07,9.326e-06,9.326e-07,"('~', 0, ""<method 'alias' of 'builtins.PyExpr' objects>"")"
17,2.5265000000000003e-05,1.4861764705882354e-06,2.5265000000000003e-05,1.4861764705882354e-06,"('~', 0, ""<method 'cast' of 'builtins.PyExpr' objects>"")"
4,7.343000000000001e-06,1.8357500000000002e-06,7.343000000000001e-06,1.8357500000000002e-06,"('~', 0, ""<method 'str_to_datetime' of 'builtins.PyExpr' objects>"")"
45,2.5652e-05,5.700444444444444e-07,2.5652e-05,5.700444444444444e-07,"('~', 0, '<col>')"
13,1.3022e-05,1.0016923076923078e-06,1.3022e-05,1.0016923076923078e-06,"('~', 0, '<lit>')"
1,6.239000000000001e-06,6.239000000000001e-06,6.239000000000001e-06,6.239000000000001e-06,"('~', 0, ""<method 'acquire' of '_multiprocessing.SemLock' objects>"")"
3,2.266e-06,7.553333333333333e-07,2.266e-06,7.553333333333333e-07,"('/usr/lib/python3.11/multiprocessing/util.py', 48, 'debug')"
1,0.000151779,0.000151779,0.039864832,0.039864832,"('/home/vmittal/Code/focus/vm_focus_converters/focus_converter_base/tests/provider_config_tests/aws/test_aws_sample_csv.py', 33, 'execute_converter')"
2,6.226e-06,3.113e-06,0.006338192,0.003169096,"('/home/vmittal/Code/focus/vm_focus_converters/focus_converter_base/focus_converter/data_loaders/data_loader.py', 60, 'load_csv')"
10,2.6041e-05,2.6041e-06,0.00033056400000000004,3.3056400000000004e-05,"('/home/vmittal/Code/focus/vm_focus_converters/focus_converter_base/focus_converter/conversion_functions/sql_functions.py', 30, 'create_sql_context')"
21,7.873e-06,3.7490476190476196e-07,7.873e-06,3.7490476190476196e-07,"('/home/vmittal/Code/focus/vm_focus_converters/focus_converter_base/focus_converter/conversion_functions/deferred_column_functions.py', 28, 'convert_focus_data_type_polars_dtype')"
1,3.163e-06,3.163e-06,3.4770000000000003e-06,3.4770000000000003e-06,"('/home/vmittal/.cache/pypoetry/virtualenvs/focus-converter-FC-3SlwU-py3.11/lib/python3.11/site-packages/networkx/classes/digraph.py', 874, 'successors')"
