ncalls,tottime,percall,cumtime,percall,filename:lineno(function)
1,1.7124e-05,1.7124e-05,0.012854892000000001,0.012854892000000001,"('/usr/lib/python3.11/multiprocessing/queues.py', 86, 'put')"
1,1.495e-06,1.495e-06,1.495e-06,1.495e-06,"('/home/vmittal/Code/focus/vm_focus_converters/focus_converter_base/focus_converter/conversion_functions/deferred_column_functions.py', 55, 'apply_missing_column_plan')"
2,1.162e-05,5.81e-06,1.4436e-05,7.218e-06,"('/usr/lib/python3.11/multiprocessing/util.py', 186, '__init__')"
1,3.2393e-05,3.2393e-05,0.012823059000000001,0.012823059000000001,"('/usr/lib/python3.11/multiprocessing/queues.py', 161, '_start_thread')"
1,0.0007884280000000001,0.0007884280000000001,0.0007884280000000001,0.0007884280000000001,"('~', 0, '<built-in method read_csv>')"
1,1.0104e-05,1.0104e-05,1.0104e-05,1.0104e-05,"('~', 0, ""<method 'lazy' of 'builtins.PyDataFrame' objects>"")"
1,1.8068e-05,1.8068e-05,1.8068e-05,1.8068e-05,"('~', 0, ""<method 'optimization_toggle' of 'builtins.PyLazyFrame' objects>"")"
1,0.004168252,0.004168252,0.004168252,0.004168252,"('~', 0, ""<method 'collect' of 'builtins.PyLazyFrame' objects>"")"
1,3.469e-05,3.469e-05,3.469e-05,3.469e-05,"('~', 0, ""<method 'select' of 'builtins.PyLazyFrame' objects>"")"
1,2.5803e-05,2.5803e-05,2.5803e-05,2.5803e-05,"('~', 0, ""<method 'join' of 'builtins.PyLazyFrame' objects>"")"
18,0.00019651500000000003,1.0917500000000002e-05,0.00019651500000000003,1.0917500000000002e-05,"('~', 0, ""<method 'with_columns' of 'builtins.PyLazyFrame' objects>"")"
25,0.00032952700000000003,1.3181080000000002e-05,0.00032952700000000003,1.3181080000000002e-05,"('~', 0, ""<method 'with_columns_seq' of 'builtins.PyLazyFrame' objects>"")"
1,3.2839e-05,3.2839e-05,3.2839e-05,3.2839e-05,"('~', 0, ""<method 'drop' of 'builtins.PyLazyFrame' objects>"")"
1,5.383e-06,5.383e-06,5.383e-06,5.383e-06,"('~', 0, ""<method 'columns' of 'builtins.PyLazyFrame' objects>"")"
18,1.3594e-05,7.552222222222223e-07,1.3594e-05,7.552222222222223e-07,"('~', 0, ""<method 'alias' of 'builtins.PyExpr' objects>"")"
18,2.0571e-05,1.1428333333333333e-06,2.0571e-05,1.1428333333333333e-06,"('~', 0, ""<method 'cast' of 'builtins.PyExpr' objects>"")"
20,1.0954e-05,5.477000000000001e-07,1.0954e-05,5.477000000000001e-07,"('~', 0, '<col>')"
18,1.1519000000000001e-05,6.399444444444445e-07,1.1519000000000001e-05,6.399444444444445e-07,"('~', 0, '<lit>')"
1,6.023000000000001e-06,6.023000000000001e-06,6.023000000000001e-06,6.023000000000001e-06,"('~', 0, ""<method 'acquire' of '_multiprocessing.SemLock' objects>"")"
3,1.7130000000000002e-06,5.71e-07,1.7130000000000002e-06,5.71e-07,"('/usr/lib/python3.11/multiprocessing/util.py', 48, 'debug')"
2,5.6830000000000005e-06,2.8415000000000002e-06,0.0009592890000000001,0.00047964450000000005,"('/home/vmittal/Code/focus/vm_focus_converters/focus_converter_base/focus_converter/data_loaders/data_loader.py', 60, 'load_csv')"
1,3.7070000000000003e-06,3.7070000000000003e-06,4.427e-06,4.427e-06,"('/home/vmittal/.cache/pypoetry/virtualenvs/focus-converter-FC-3SlwU-py3.11/lib/python3.11/site-packages/networkx/classes/digraph.py', 874, 'successors')"
1,2.877e-06,2.877e-06,2.877e-06,2.877e-06,"('/home/vmittal/Code/focus/vm_focus_converters/focus_converter_base/focus_converter/conversion_functions/validations.py', 128, '<listcomp>')"
1,4.0087000000000004e-05,4.0087000000000004e-05,0.017241442000000003,0.017241442000000003,"('/home/vmittal/Code/focus/vm_focus_converters/focus_converter_base/focus_converter/data_loaders/data_exporter.py', 56, 'collect')"
1,1.0063e-05,1.0063e-05,0.001863662,0.001863662,"('/home/vmittal/Code/focus/vm_focus_converters/focus_converter_base/focus_converter/converter.py', 323, '__process_lazy_frame__')"
1,0.00011396000000000001,0.00011396000000000001,0.000967808,0.000967808,"('/home/vmittal/Code/focus/vm_focus_converters/focus_converter_base/focus_converter/converter.py', 309, '__add_empty_columns_for_missing_focus_columns__')"
1,1.595e-05,1.595e-05,3.2703e-05,3.2703e-05,"('/home/vmittal/Code/focus/vm_focus_converters/focus_converter_base/focus_converter/conversion_functions/validations.py', 126, 'validate_lazy_frame_columns')"
1,2.28e-07,2.28e-07,2.28e-07,2.28e-07,"('/home/vmittal/Code/focus/vm_focus_converters/focus_converter_base/focus_converter/converter.py', 251, '__apply_sql_queries__')"
1,2.8620000000000003e-06,2.8620000000000003e-06,8.245e-06,8.245e-06,"('/home/vmittal/.cache/pypoetry/virtualenvs/focus-converter-FC-3SlwU-py3.11/lib/python3.11/site-packages/polars/lazyframe/frame.py', 626, 'columns')"
1,4.208e-06,4.208e-06,4.5492000000000004e-05,4.5492000000000004e-05,"('/home/vmittal/.cache/pypoetry/virtualenvs/focus-converter-FC-3SlwU-py3.11/lib/python3.11/site-packages/polars/lazyframe/frame.py', 4100, 'drop')"
1,1.4618000000000001e-05,1.4618000000000001e-05,0.000850935,0.000850935,"('/home/vmittal/Code/focus/vm_focus_converters/focus_converter_base/focus_converter/converter.py', 276, 'apply_plan')"
20,1.2627000000000001e-05,6.313500000000001e-07,6.7098e-05,3.3549e-06,"('/home/vmittal/.cache/pypoetry/virtualenvs/focus-converter-FC-3SlwU-py3.11/lib/python3.11/site-packages/polars/functions/col.py', 147, '__new__')"
